Channel,WAV,Begin Time (s),call_type,Repetition,localization
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16556.552190831,52,3,9435.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16561.56354734,52,3,9435.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16573.42716683,52,3,9435.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16602.2680349,52,3,9515.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16607.38166399,52,3,9515.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16618.938465735,52,3,9515.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16738.393071702,52,3,9556.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16728.268086103,52,3,9556.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16722.43854894,52,3,9556.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16715.995376286,52,3,9557.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16722.131731194,52,3,9557.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16731.949899048,52,3,9557.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16726.733997376,52,3,9558.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16710.370384286,52,3,9558.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16717.018102104,52,3,9558.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16780.427102825,52,3,9603.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16785.438459334,52,3,9603.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16797.199806242,52,3,9603.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16794.23390137,52,3,9604.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16782.779372207,52,3,9604.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16777.563470535,52,3,9604.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16775.00665599,52,3,9605.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16780.222557662,52,3,9605.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16791.677086824,52,3,9605.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16790.245270679,52,3,9606.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16778.381651189,52,3,9606.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16773.370294681,52,3,9606.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16836.472477657,52,3,9610.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16824.608934972,52,3,9610.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16820.00666879,52,3,9610.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16831.972560862,52,3,9615.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16836.881644789,52,3,9615.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16838.62027868,52,3,9615.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16831.256652789,52,3,9616.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16836.268009298,52,3,9616.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16837.802098025,52,3,9616.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,17442.381514557,52,3,9811.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,17447.254119092,52,3,9811.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,17459.149006632,52,3,9811.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,17458.432447142,52,3,9812.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,17446.537559601,52,3,9812.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,17441.091707474,52,3,9812.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19153.872060704,52,3,10869.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,19163.903893569,52,3,10869.0
